        Frequency / THz                Eps' (Fit)/real
               695.46545                      -1.3239511
               695.80579                       -1.321559
               696.14612                      -1.3191863
               696.48645                      -1.3168333
               696.69464                      -1.3154038
               696.82684                      -1.3144995
               697.16711                      -1.3121852
               697.50751                      -1.3098902
               697.84784                      -1.3076141
               698.18823                      -1.3053572
                698.5285                      -1.3031193
                698.8689                      -1.3009002
               699.20917                      -1.2986999
               699.54956                      -1.2965182
               699.88989                      -1.2943552
               700.23029                      -1.2922106
               700.57056                      -1.2900845
               700.80664                      -1.2886202
               700.91089                      -1.2879766
               701.25128                       -1.285887
               701.59155                      -1.2838155
               701.93195                      -1.2817621
               702.27222                      -1.2797266
               702.61261                       -1.277709
               702.95294                      -1.2757092
               703.29333                      -1.2737269
               703.63361                      -1.2717624
                 703.974                      -1.2698153
               704.31433                      -1.2678856
               704.65466                      -1.2659732
               704.94305                      -1.2643664
                 704.995                      -1.2640781
               705.33539                      -1.2622001
               705.67566                      -1.2603393
               706.01599                      -1.2584952
               706.35638                      -1.2566682
               706.69666                      -1.2548579
               707.03705                      -1.2530643
               707.37738                      -1.2512873
               707.71771                      -1.2495269
               708.05804                      -1.2477828
               708.39844                      -1.2460552
               708.73871                      -1.2443439
                709.0791                      -1.2426486
               709.10382                      -1.2425263
               709.41943                      -1.2409695
               709.75977                      -1.2393064
                710.1001                      -1.2376592
               710.44049                      -1.2360278
               710.78076                      -1.2344123
               711.12109                      -1.2328123
               711.46149                       -1.231228
               711.80176                      -1.2296591
               712.14215                      -1.2281057
               712.48248                      -1.2265675
               712.82281                      -1.2250446
               713.16315                      -1.2235368
               713.28912                      -1.2229829
               713.50354                      -1.2220442
               713.84381                      -1.2205665
                714.1842                      -1.2191037
               714.52454                      -1.2176558
               714.86487                      -1.2162225
                715.2052                      -1.2148041
               715.54559                         -1.2134
               715.88586                      -1.2120105
                716.2262                      -1.2106354
               716.56659                      -1.2092748
               716.90686                      -1.2079282
               717.24725                      -1.2065959
               717.49908                       -1.205619
               717.58759                      -1.2052776
               717.92792                      -1.2039733
               718.26825                       -1.202683
               718.60864                      -1.2014065
